,Test set mean_absolute_error,Training set mean_absolute_error,Training set size,Mean absolute error
126,20.880252412687682,9.325873406851315e-14,90,20.880252412687682
127,19.447134666881706,6.679101716144942e-14,90,19.447134666881706
128,11.64300072252219,4.73300411209089e-14,90,11.64300072252219
129,13.478884802696589,5.455389226780325e-14,90,13.478884802696589
130,17.008545125624625,8.321244927679395e-14,90,17.008545125624625
131,10.750532796254365,6.347515106123562e-14,90,10.750532796254365
132,19.301672032709842,7.184376550463235e-14,90,19.301672032709842
133,23.394714090590618,4.669844757801103e-14,90,23.394714090590618
134,16.292408030522292,7.559385216558844e-14,90,16.292408030522292
135,18.795518555033674,6.702786474003612e-14,90,18.795518555033674
136,18.593237030590213,9.754172778128931e-14,90,18.593237030590213
137,12.141709978955681,5.1948568903349545e-14,90,12.141709978955681
138,13.522355385192098,8.242295734817162e-14,90,13.522355385192098
139,14.675230004095322,7.875181988007777e-14,90,14.675230004095322
140,19.92536651085178,7.484383483339722e-14,90,19.92536651085178
141,13.374631591265342,4.930377094246473e-14,90,13.374631591265342
142,17.239480482498912,6.852789940441855e-14,90,17.239480482498912
143,12.32201253083355,4.784321087451341e-14,90,12.32201253083355
144,22.095598880520033,5.2777535428403e-14,90,22.095598880520033
145,14.373355856912982,5.597497773932345e-14,90,14.373355856912982
146,16.140998463939336,4.432997179214403e-14,90,16.140998463939336
147,11.687514507501415,5.96461152074173e-14,90,11.687514507501415
148,13.670118960812333,4.5474735088646414e-14,90,13.670118960812333
149,18.02015486562252,7.212008767965017e-14,90,18.02015486562252
150,14.935998713070957,6.90241514738383e-14,105,14.935998713070957
151,15.593592851164862,8.715990891990563e-14,105,15.593592851164862
152,11.479093550955522,5.57606870729831e-14,105,11.479093550955522
153,17.06943797743906,1.1930350887095778e-13,105,17.06943797743906
154,13.458147795346775,7.372726767720278e-14,105,13.458147795346775
155,12.265644473906159,1.5801117028569846e-13,105,12.265644473906159
156,15.439491812079712,1.3655954673941734e-13,105,15.439491812079712
157,14.94106448204123,6.997154178818511e-14,105,14.94106448204123
158,14.6011698661109,1.483342549320133e-13,105,14.6011698661109
159,15.410472274378353,4.527172287842924e-14,105,15.410472274378353
160,11.891392458847381,7.985146935208744e-14,105,11.891392458847381
161,13.875821390659143,4.642212540299321e-14,105,13.875821390659143
162,19.535882533891517,5.867052875276256e-14,105,19.535882533891517
163,17.790704912373222,1.2986014380225068e-13,105,17.790704912373222
164,10.723284812410716,5.251249170950836e-14,105,10.723284812410716
165,10.399683720531117,4.601610098255887e-14,105,10.399683720531117
166,15.09830742323136,7.453931651807146e-14,105,15.09830742323136
167,16.402047190235848,5.4508778443310545e-14,105,16.402047190235848
168,14.883520554616073,5.17342782370092e-14,105,14.883520554616073
169,10.914336403786649,4.814772918983917e-14,105,10.914336403786649
170,12.277109311855005,3.867382604637117e-14,105,12.277109311855005
171,17.69367766636366,6.218940706319354e-14,105,17.69367766636366
